as_id,display_name,original,noise
128,Mosquito,,biophony
129,"Fly, housefly",,biophony
130,Buzz,,biophony
131,"Bee, wasp, etc.",,biophony
132,Frog,,biophony
133,Croak,,biophony
134,Snake,,biophony
135,Rattle,,biophony
136,Whale vocalization,,biophony
137,Music,,music
138,Musical instrument,,music
139,Plucked string instrument,,music
140,Guitar,,music
141,Electric guitar,,music
142,Bass guitar,,music
143,Acoustic guitar,,music
144,"Steel guitar, slide guitar",,music
145,Tapping (guitar technique),,music
146,Strum,,music
147,Banjo,,music
148,Sitar,,music
149,Mandolin,,music
150,Zither,,music
151,Ukulele,,music
152,Keyboard (musical),,music
153,Piano,,music
154,Electric piano,,music
155,Organ,,music
156,Electronic organ,,music
157,Hammond organ,,music
158,Synthesizer,,music
159,Sampler,,music
160,Harpsichord,,music
161,Percussion,,music
162,Drum kit,,music
163,Drum machine,,music
164,Drum,,music
165,Snare drum,,music
166,Rimshot,,music
167,Drum roll,,music
168,Bass drum,,music
169,Timpani,,music
170,Tabla,,music
171,Cymbal,,music
172,Hi-hat,,music
173,Wood block,,music
174,Tambourine,,music
175,Rattle (instrument),,music
176,Maraca,,music
177,Gong,,music
178,Tubular bells,,music
179,Mallet percussion,,music
180,"Marimba, xylophone",,music
181,Glockenspiel,,music
182,Vibraphone,,music
183,Steelpan,,music
184,Orchestra,,music
185,Brass instrument,,music
186,French horn,,music
187,Trumpet,,music
188,Trombone,,music
189,Bowed string instrument,,music
190,String section,,music
191,"Violin, fiddle",,music
192,Pizzicato,,music
193,Cello,,music
194,Double bass,,music
195,"Wind instrument, woodwind instrument",,music
196,Flute,,music
197,Saxophone,,music
198,Clarinet,,music
199,Harp,,music
200,Bell,,music
201,Church bell,,music
202,Jingle bell,,music
203,Bicycle bell,,music
204,Tuning fork,,music
205,Chime,,music
206,Wind chime,,music
207,Change ringing (campanology),,music
208,Harmonica,,music
209,Accordion,,music
210,Bagpipes,,music
211,Didgeridoo,,music
212,Shofar,,music
213,Theremin,,music
214,Singing bowl,,music
215,Scratching (performance technique),,music
216,Pop music,,music
217,Hip hop music,,music
218,Beatboxing,,music
219,Rock music,,music
220,Heavy metal,,music
221,Punk rock,,music
222,Grunge,,music
223,Progressive rock,,music
224,Rock and roll,,music
225,Psychedelic rock,,music
226,Rhythm and blues,,music
227,Soul music,,music
228,Reggae,,music
229,Country,,music
230,Swing music,,music
231,Bluegrass,,music
232,Funk,,music
233,Folk music,,music
234,Middle Eastern music,,music
235,Jazz,,music
236,Disco,,music
237,Classical music,,music
238,Opera,,music
239,Electronic music,,music
240,House music,,music
241,Techno,,music
242,Dubstep,,music
243,Drum and bass,,music
244,Electronica,,music
245,Electronic dance music,,music
246,Ambient music,,music
247,Trance music,,music
248,Music of Latin America,,music
249,Salsa music,,music
250,Flamenco,,music
251,Blues,,music
252,Music for children,,music
253,New-age music,,music
254,Vocal music,,music
255,A capella,,music
256,Music of Africa,,music
257,Afrobeat,,music
258,Christian music,,music
259,Gospel music,,music
260,Music of Asia,,music
261,Carnatic music,,music
262,Music of Bollywood,,music
263,Ska,,music
264,Traditional music,,music
265,Independent music,,music
266,Song,,music
267,Background music,Background music,music
268,Theme music,,music
269,Jingle (music),,music
270,Soundtrack music,,music
271,Lullaby,,music
272,Video game music,,music
273,Christmas music,,music
274,Dance music,,music
275,Wedding music,,music
276,Happy music,,music
277,Funny music,,music
278,Sad music,,music
279,Tender music,,music
280,Exciting music,,music
281,Angry music,,music
282,Scary music,,music
283,Wind,,geophony
284,Rustling leaves,,geophony
285,Wind noise (microphone),Wind noise (microphone),geophony
286,Thunderstorm,,geophony
287,Thunder,,geophony
288,Water,,geophony
289,Rain,,geophony
290,Raindrop,,geophony
291,Rain on surface,,geophony
292,Stream,,geophony
293,Waterfall,,geophony
294,Ocean,,geophony
295,"Waves, surf",,geophony
296,Steam,,geophony
297,Gurgling,,geophony
298,Fire,,geophony
299,Crackle,,geophony
300,Vehicle,,
301,"Boat, Water vehicle",,
302,"Sailboat, sailing ship",,
303,"Rowboat, canoe, kayak",,
304,"Motorboat, speedboat",,
305,Ship,,
306,Motor vehicle (road),,road_traffic
307,Car,Car,road_traffic
308,"Vehicle horn, car horn, honking",,road_traffic
309,Toot,,road_traffic
310,Car alarm,,road_traffic
311,"Power windows, electric windows",,road_traffic
312,Skidding,,road_traffic
313,Tire squeal,Tire squeal,road_traffic
314,Car passing by,Car passing by,road_traffic
315,"Race car, auto racing",,road_traffic
316,Truck,Truck,road_traffic
317,Air brake,Air brake,road_traffic
318,"Air horn, truck horn",,road_traffic
319,Reversing beeps,,road_traffic
320,"Ice cream truck, ice cream van",,road_traffic
321,Bus,,road_traffic
322,Emergency vehicle,,road_traffic
323,Police car (siren),,road_traffic
324,Ambulance (siren),,road_traffic
325,"Fire engine, fire truck (siren)",,road_traffic
326,Motorcycle,,road_traffic
327,"Traffic noise, roadway noise","Traffic noise, roadway noise",road_traffic
328,Rail transport,,rail_traffic
329,Train,,rail_traffic
330,Train whistle,,rail_traffic
331,Train horn,,rail_traffic
332,"Railroad car, train wagon",,rail_traffic
333,Train wheels squealing,Train wheels squealing,rail_traffic
334,"Subway, metro, underground","Subway, metro, underground",rail_traffic
335,Aircraft,,
336,Aircraft engine,,
337,Jet engine,,
338,"Propeller, airscrew",,
339,Helicopter,,
340,"Fixed-wing aircraft, airplane",,
341,Bicycle,Bicycle,
342,Skateboard,,
343,Engine,,
344,Light engine (high frequency),,
345,"Dental drill, dentist's drill",,
346,Lawn mower,,
347,Chainsaw,,
348,Medium engine (mid frequency),,
349,Heavy engine (low frequency),,
350,Engine knocking,,
351,Engine starting,Engine starting,road_traffic
352,Idling,Idling,road_traffic
353,"Accelerating, revving, vroom",,road_traffic
354,Door,,
355,Doorbell,Doorbell,
356,Ding-dong,,
357,Sliding door,,
358,Slam,Slam,
359,Knock,,
360,Tap,,
361,Squeak,,
362,Cupboard open or close,,
363,Drawer open or close,,
364,"Dishes, pots, and pans",,
365,"Cutlery, silverware","Cutlery, silverware",
366,Chopping (food),,
367,Frying (food),,
368,Microwave oven,,
369,Blender,,
370,"Water tap, faucet",,
371,Sink (filling or washing),,
372,Bathtub (filling or washing),,
373,Hair dryer,,
374,Toilet flush,,
375,Toothbrush,,
376,Electric toothbrush,,
377,Vacuum cleaner,,
378,Zipper (clothing),,
379,Keys jangling,,
380,Coin (dropping),,
381,Scissors,,
382,"Electric shaver, electric razor",,
383,Shuffling cards,,
384,Typing,,
385,Typewriter,,
386,Computer keyboard,,
387,Writing,,
388,Alarm,,
389,Telephone,,
390,Telephone bell ringing,,
391,Ringtone,,
392,"Telephone dialing, DTMF",,
393,Dial tone,,
394,Busy signal,,
395,Alarm clock,,
396,Siren,,
397,Civil defense siren,,
398,Buzzer,,
399,"Smoke detector, smoke alarm",,
400,Fire alarm,,
401,Foghorn,,
402,Whistle,,
403,Steam whistle,,
404,Mechanisms,,
405,"Ratchet, pawl","Ratchet, pawl",
406,Clock,,
407,Tick,,
408,Tick-tock,,
409,Gears,,
410,Pulleys,,
411,Sewing machine,,
412,Mechanical fan,,
413,Air conditioning,,
414,Cash register,Cash register,
415,Printer,,
416,Camera,,
417,Single-lens reflex camera,,
418,Tools,,
419,Hammer,Hammer,
420,Jackhammer,,
421,Sawing,,
422,Filing (rasp),,
423,Sanding,,
424,Power tool,,
425,Drill,,
426,Explosion,,
427,"Gunshot, gunfire",,
428,Machine gun,,
429,Fusillade,,
430,Artillery fire,,
431,Cap gun,,
432,Fireworks,,
433,Firecracker,,
434,"Burst, pop",,
435,Eruption,,
436,Boom,,
437,Wood,Wood,
438,Chop,,
439,Splinter,,
440,Crack,,
441,Glass,,
442,"Chink, clink","Chink, clink",
443,Shatter,,
444,Liquid,,
445,"Splash, splatter",,
446,Slosh,,
447,Squish,,
448,Drip,,
449,Pour,,
450,"Trickle, dribble",,
451,Gush,,
452,Fill (with liquid),,
453,Spray,,
454,Pump (liquid),,
455,Stir,,
456,Boiling,,
457,Sonar,,
458,Arrow,,
459,"Whoosh, swoosh, swish",,
460,"Thump, thud",,
461,Thunk,,
462,Electronic tuner,,
463,Effects unit,,
464,Chorus effect,,
465,Basketball bounce,,
466,Bang,Bang,
467,"Slap, smack","Slap, smack",
468,"Whack, thwack","Whack, thwack",
469,"Smash, crash",,
470,Breaking,,
471,Bouncing,,
472,Whip,,
473,Flap,,
474,Scratch,,
475,Scrape,Scrape,
476,Rub,,
477,Roll,Roll,
478,Crushing,,
479,"Crumpling, crinkling","Crumpling, crinkling",
480,Tearing,,
481,"Beep, bleep","Beep, bleep",
482,Ping,,
483,Ding,,
484,Clang,Clang,
485,Squeal,Squeal,
486,Creak,,
487,Rustle,Rustle,geophony
488,Whir,Whir,
489,Clatter,Clatter,
490,Sizzle,,
491,Clicking,Clicking,
492,Clickety-clack,Clickety-clack,
493,Rumble,,
494,Plop,,
495,"Jingle, tinkle",,
496,Hum,,
497,Zing,,
498,Boing,,
499,Crunch,,
500,Silence,,
501,Sine wave,,
502,Harmonic,,
503,Chirp tone,,
504,Sound effect,,
505,Pulse,,
506,"Inside, small room",,
507,"Inside, large room or hall",,
508,"Inside, public space",,
509,"Outside, urban or manmade",,
510,"Outside, rural or natural",,
511,Reverberation,,
512,Echo,,
513,Noise,,
514,Environmental noise,,
515,Static,,
516,Mains hum,,
517,Distortion,,
518,Sidetone,,
519,Cacophony,,
520,White noise,,
521,Pink noise,,
522,Throbbing,,
523,Vibration,,
524,Television,,
525,Radio,,
526,Field recording,,
